Day		Km	Time	Km/h (Avg)	Km (total)
==========================================================
2009-04-02	38.0	02:00	19.00		38.0
2009-04-03	26.0	01:45	14.86		64.0
2009-04-04	52.5	03:30	15.00		116.5
2009-04-05	32.6	02:20	13.97		149.1
2009-04-09	40.5	02:30	16.20		189.6
2009-04-10	42.2	02:45	15.35		231.8
2009-04-11	55.0	03:50	14.35		286.8
2009-04-12	69.3	05:10	13.41		356.1
2009-05-02	13.5	01:02	13.06		369.6
2009-05-24	41.5	03:01	13.76		411.1
2009-06-01	16.3	00:56	17.46		427.4
2009-06-08	73.6	04:35	16.06		501.0
2009-06-12	17.1	01:40	10.26		518.1
2009-06-13	22.1	02:27	09.02		540.2
2009-07-04	41.1	02:51	14.42		581.3
2009-07-05	82.4	05:59	13.77		663.7
2009-07-07	34.8	02:27	14.20		698.5
2009-07-11	16.2	00:55	17.67		714.7
2009-07-13	49.9	03:22	14.82		764.6
2009-07-14	102.5	05:57	17.23		867.1
2009-07-15	13.9	01:01	13.67		881.0
2009-07-17	115.8	06:43	17.24		996.8
2009-07-22	102.5	05:38	18.20		1099.3
2009-07-23	37.2	02:12	16.91		1136.5
2009-07-27	42.1	02:49	14.95		1178.6
2009-07-30	118.1	07:10	16.48		1296.7
2009-08-02	67.0	04:12	15.95		1363.7
2009-08-18	108.0	07:42	14.03		1471.7
2009-08-20	155.3	08:13	18.90		1627.0
2009-08-25	55.9	03:32	15.82		1682.9
2009-08-27	86.1	04:33	18.92		1769.0
2009-08-30	92.2	05:14	17.62		1861.2
2009-09-01	39.2	02:41	14.61		1900.4
2009-09-03	51.5	03:17	15.69		1951.9
2009-09-08	41.8	02:53	14.50		1993.7
2009-09-10	57.6	03:27	16.70		2051.3
2009-09-13	36.4	02:26	14.96		2087.7
2009-09-23	64.4	03:58	16.24		2152.1
2009-09-27	66.7	05:01	13.30		2218.8
2009-10-30	26.6	01:50	14.51		2245.4
============================================================
Total: 2008 - 2009: 3971.4
